Word,Image,Abstract Word Mnemonics
A,"One of many, set apart in foreground (this word is not an object) (could be set in a house of mirrors like Bruce Lee fighting Han)",Abstract Word Mnemonics
Able,A badly injured person doing physiotherapy regaining the ability to stand and walk./ Walking with canes,Abstract Word Mnemonics
About,A boat that is floating aimlessly around nearby,Abstract Word Mnemonics
Access,Firemen using their axes to access a building that is on fire / A skeleton key,Abstract Word Mnemonics
According,Accordion,Abstract Word Mnemonics
Accurate,Bullseye - Marvel supervillain plaid by Colin Farell,Abstract Word Mnemonics
Act,An elementary school stage play,Abstract Word Mnemonics
Action,Action Jackson,Abstract Word Mnemonics
Active,An activist / Acting in an opera singing at a higher octave / An active volcano / Pet dog running and jumping about,Abstract Word Mnemonics
Activity,Elementary school kids learning a dance ,Abstract Word Mnemonics
Actual,ACHOO,Abstract Word Mnemonics
Add,Lou Costello using an abacus to add,Abstract Word Mnemonics
Adapt,An abandone baby on a porch needing to be adopted,Abstract Word Mnemonics
Adopt,An abandoned baby in a basket ,Abstract Word Mnemonics
Algorithm,"Alcohol rhythm, a drunk dancing imaging that he (or she) is a great dancer",Abstract Word Mnemonics
All,Rainbow coloured (all colours) / Multi coloured glitter confetti being thrown around the thing in question / A family all holding hands forming a circle,Abstract Word Mnemonics
Allow,Monty Python and The Holy Grail Bridge of Death scene where the heroes are only allowed to pass after answering 3 questions.,Abstract Word Mnemonics
Allocate,Alligator,Abstract Word Mnemonics
Always,A labyrinthine set of echoing hallways,Abstract Word Mnemonics
Am,"Slowly, patiently, aiming at a bullseye or other object",Abstract Word Mnemonics
Am I?,A firing squad aiming at me,Abstract Word Mnemonics
An,Same as ‘a’,Abstract Word Mnemonics
Analyze,Have anal sex,Abstract Word Mnemonics
And,Introduces a ballroom dance scene with classic music. Thus elements are joined together,Abstract Word Mnemonics
Another,Anteater / An otter,Abstract Word Mnemonics
Answer,Final answer? (Who Wants to be a Millionaire?),Abstract Word Mnemonics
Appear,"Pop into existence on a cloud, like Mysterio",Abstract Word Mnemonics
Apply,Request or order apple pie,Abstract Word Mnemonics
Appreciate,Reach up to pluck an apple from a tree and give it to somebody to show your appreciation.,Abstract Word Mnemonics
Approach,"The approach to a bridge that is only partly built./ Squirrel approaching human cautiously, in hopes of getting food",Abstract Word Mnemonics
Are,"Air bending, sending mystical ball of chi energy towards something",Abstract Word Mnemonics
Argue,Who’s on first routine with Abbott and Costello,Abstract Word Mnemonics
As,Riding an ass alongside something,Abstract Word Mnemonics
As...as,"A balance scale where the first term is on the left tray and the second is on the right, and they totter slightly before coming to balance",Abstract Word Mnemonics
Ask,Spanish Inquisition where an inquisitor asks a victim a question in a threatening manner while a man with an axe stands nearby,Abstract Word Mnemonics
Assess,Check out somebody’s ass,Abstract Word Mnemonics
At,"Arrive somewhere and come to attention, saluting / Arrive at a location by transporter beam ",Abstract Word Mnemonics
Attack,"Imagine a scene from where pirates bord a ship with cutlasses, several of them swinging from ropes",Abstract Word Mnemonics
Attribute,A Roman tribute,Abstract Word Mnemonics
Audit,PB (person I know) wearing a propeller beanie.,Abstract Word Mnemonics
Auditing,"Sitting in on a class (in an auditorium) that the student is not seeking credit for / a hearing test, with a tuning fork next to the ear",Abstract Word Mnemonics
Augment,To pave roads or sidewalks by pouring golden cement (AU is the symbol for the element gold on the periodic table),Abstract Word Mnemonics
Available,A woman (or whoever) wearing a veil giving a 'come-hither' gesture,Abstract Word Mnemonics
Avoid,"People running from the bulls in Pamplona, Spain, voiding themselves as bulls get close and fear overtakes them",Abstract Word Mnemonics
Away,"Hi-yo, Silver! Away!! Rides off into the sunset / Superman, ""Up, up and away!""",Abstract Word Mnemonics
Back,A Voldemort face on the back of somebody’s head,Abstract Word Mnemonics
Bacteria,Bactrian camel,Abstract Word Mnemonics
Balance,"Balance on the front of a canoe, like Daniel in Karate Kid.",Abstract Word Mnemonics
Basic,Military basic training,Abstract Word Mnemonics
Bask,Lie in a basket basking in the sun,Abstract Word Mnemonics
Battle,Fighting with broken bottles,Abstract Word Mnemonics
Be,To send bees forth—towards something; a dog on a leash / Hamlet doing his famous to be or not to be soliloquoy,Abstract Word Mnemonics
Because,Cosby,Abstract Word Mnemonics
Become,"Put on mask, disguise or costume",Abstract Word Mnemonics
Been,Person climbing out of a large outdoor garbage bin where they have been stuck.,Abstract Word Mnemonics
Before,Beaver,Abstract Word Mnemonics
Begin,Action being done while wearing martial arts uniform with white belt (i.e.: as a beginner),Abstract Word Mnemonics
Believe,"Set in an evangelical church with singing, dancing and spoken amens",Abstract Word Mnemonics
