Artist,Song,Year,Song Year,Header
Kanye West,Stronger,2007,Stronger (2007),Band/Artist from Song
The Supremes,Baby Love,1964,Baby Love (1964),Band/Artist from Song
Townes Van Zandt,Pancho and Lefty,1972,Pancho and Lefty (1972),Band/Artist from Song
Lizzo,Truth Hurts,2017,Truth Hurts (2017),Band/Artist from Song
Harry Nilsson,Without You,1971,Without You (1971),Band/Artist from Song
Carly Simon,You're So Vain,1972,You're So Vain (1972),Band/Artist from Song
Cyndi Lauper,Time After Time,1983,Time After Time (1983),Band/Artist from Song
Pixies,Where Is My Mind,1988,Where Is My Mind (1988),Band/Artist from Song
Miles Davis,So What,1959,So What (1959),Band/Artist from Song
Guns N' Roses,Welcome to the Jungle,1987,Welcome to the Jungle (1987),Band/Artist from Song
Lil Nas X,Old Town Road,2019,Old Town Road (2019),Band/Artist from Song
The Breeders,Cannonball,1993,Cannonball (1993),Band/Artist from Song
The Weeknd,House of Balloons,2011,House of Balloons (2011),Band/Artist from Song
Solange,Cranes in the Sky,2016,Cranes in the Sky (2016),Band/Artist from Song
Lil Wayne,A Milli,2009,A Milli (2009),Band/Artist from Song
Azealia Banks,212,2011,212 (2011),Band/Artist from Song
Weezer,Buddy Holly,1994,Buddy Holly (1994),Band/Artist from Song
Four Tops,I Can't Help Myself,1965,I Can't Help Myself (1965),Band/Artist from Song
Lady Gaga, Bad Romance,2009, Bad Romance (2009),Band/Artist from Song
Robert Johnson, Cross Road Blues,1937, Cross Road Blues (1937),Band/Artist from Song
Biz Markie,Just a Friend,1989,Just a Friend (1989),Band/Artist from Song
Santana,Oye Como Va,1970,Oye Como Va (1970),Band/Artist from Song
Juvenile,Back That Azz Up,1998,Back That Azz Up (1998),Band/Artist from Song
The Go-Gos,Our Lips Are Sealed,1981,Our Lips Are Sealed (1981),Band/Artist from Song
Kris Kristofferson,Sunday Morning Coming Down,1970,Sunday Morning Coming Down (1970),Band/Artist from Song
Janet Jackson,Rhythm Nation,1989,Rhythm Nation (1989),Band/Artist from Song
Curtis Mayfield,Move On Up,1970,Move On Up (1970),Band/Artist from Song
Tammy Wynette,Stand By Your Man,1968,Stand By Your Man (1968),Band/Artist from Song
Peter Gabriel,Solsbury Hill,1977,Solsbury Hill (1977),Band/Artist from Song
The Animals,The House of the Rising Sun,1964,The House of the Rising Sun (1964),Band/Artist from Song
Gladys Knight and the Pips,Midnight Train to Georgia,1973,Midnight Train to Georgia (1973),Band/Artist from Song
Dixie Chicks,Goodbye Earl,2000,Goodbye Earl (2000),Band/Artist from Song
Mazzy Star,Fade Into You,1993,Fade Into You (1993),Band/Artist from Song
Nirvana,Come As You Are,1991,Come As You Are (1991),Band/Artist from Song
Luther Vandross,Never Too Much,1981,Never Too Much (1981),Band/Artist from Song
Daft Punk, Get Lucky,2013, Get Lucky (2013),Band/Artist from Song
Joni Mitchell,Help Me,1974,Help Me (1974),Band/Artist from Song
John Lee Hooker,Boom Boom,1962,Boom Boom (1962),Band/Artist from Song
Van Morrison,Into the Mystic,1970,Into the Mystic (1970),Band/Artist from Song
