Clue,Response,Frequency,Jeopardy Pavlovs
"""(Don't Fear) The Reaper""",Blue Oyster Cult,5,Jeopardy Pavlovs
"""(Everything I Do) I Do It For You"" + sang ""I Do It For You"" in 1991, hit ""(Everything I Do) I Do It for You""",Bryan Adams,5,Jeopardy Pavlovs
"""(I've Had) The Time Of My Life"" film + Oscar, Song, won",Dirty Dancing,7,Jeopardy Pavlovs
"""* The English Patient"" author + born, Ceylon",Michael Ondaatje,4,Jeopardy Pavlovs
"""10"" actress",Bo Derek,4,Jeopardy Pavlovs
"""100% proof"", what percentage of alcohol",50,4,Jeopardy Pavlovs
"""12 year old genius"" album + 1963, 1965",Stevie Wonder,4,Jeopardy Pavlovs
"""1812 Overture"" composer",Tchaikovsky,9,Jeopardy Pavlovs
"""1984"", it's the official language of Oceania + George Orwell",Newspeak,4,Jeopardy Pavlovs
"""2001"" director",Stanley Kubrick,6,Jeopardy Pavlovs
"""30 Rock"" actress",Tina Fey,4,Jeopardy Pavlovs
"""30 Rock"" creator + created",Tina Fey,4,Jeopardy Pavlovs
"""60 Minutes"" + first female",Diane Sawyer,4,Jeopardy Pavlovs
"""60 Minutes"" commentator",Andy Rooney,4,Jeopardy Pavlovs
"""8 1/2"" + directed ""8½"", director, films",Federico Fellini,8,Jeopardy Pavlovs
"""9 to 5"" boss",Dabney Coleman,4,Jeopardy Pavlovs
"""A Christmas Carol"" + character",Ebenezer Scrooge,4,Jeopardy Pavlovs
"""A Clockwork Orange"" author + wrote ""A Clockwork Orange""",Anthony Burgess,13,Jeopardy Pavlovs
"""A Confederacy of Dunces"" author",John Kennedy Toole,5,Jeopardy Pavlovs
"""A Death in the Family"" author + film critic, Pulitzer Prize, won",James Agee,5,Jeopardy Pavlovs
"""A Delicate Balance"" playwright",Edward Albee,7,Jeopardy Pavlovs
"""A Doll's House"" author + playwright",Henrik Ibsen,6,Jeopardy Pavlovs
"""A Farewell to Arms"" author",Ernest Hemingway,5,Jeopardy Pavlovs
"""A Farewell to Arms"" war + Hemingway",World War I,5,Jeopardy Pavlovs
"""A Man for All Seasons"" actor + Oscar, won",Paul Scofield,5,Jeopardy Pavlovs
"""A Man for All Seasons"" subject + play",Thomas More,9,Jeopardy Pavlovs
"""A Midsummer Night's Dream"" character",Puck,7,Jeopardy Pavlovs
"""A Midsummer Night's Dream"" composer + ""A Midsummer Night's Dream"" overture, wrote",Mendelssohn,9,Jeopardy Pavlovs
"""A Million Little Pieces"" author + Oprah",James Frey,5,Jeopardy Pavlovs
"""A Modest Proposal""",Jonathan Swift,11,Jeopardy Pavlovs
"""A Most Wanted Man"" author + War",John le Carré,4,Jeopardy Pavlovs
"""A Moveable Feast"" author",Ernest Hemingway,10,Jeopardy Pavlovs
"""A Passage to India"" author",E.M. Forster,7,Jeopardy Pavlovs
"""A Portrait of the Artist as a Young Man"" author",James Joyce,10,Jeopardy Pavlovs
"""A Prayer for Owen Meany"" author",John Irving,4,Jeopardy Pavlovs
"""A Room of One's Own"" author + 1929 essay ""A Room of One's Own"", female writers",Virginia Woolf,15,Jeopardy Pavlovs
"""A Room with a View"" author",E.M. Forster,6,Jeopardy Pavlovs
"""A Rose for Emily""",William Faulkner,4,Jeopardy Pavlovs
"""A Rush Of Blood To The Head"" album",Coldplay,4,Jeopardy Pavlovs
"""A Son of the Circus"" author + The Cider House Rules",John Irving,10,Jeopardy Pavlovs
"""A Streetcar Named Desire"" city",New Orleans,4,Jeopardy Pavlovs
"""A Study in Scarlet"" author",Arthur Conan Doyle,7,Jeopardy Pavlovs
"""A Sunday Afternoon on the Island of La Grande Jatte"" artist",George Seurat,12,Jeopardy Pavlovs
"""A Tale of Two Cities"" author",Charles Dickens,6,Jeopardy Pavlovs
"""A Time to Kill"" author + first novel A Time to Kill",John Grisham,15,Jeopardy Pavlovs
"""A Tramp Abroad"" author + ""The Innocents Abroad"" author",Mark Twain,8,Jeopardy Pavlovs
"""A Tree Grows In"" this borough + Betty Smith",Brooklyn,4,Jeopardy Pavlovs
"""A View from the Bridge"" playwright + 1955, ""A View from the Bridge""",Arthur Miller,7,Jeopardy Pavlovs
"""A Wrinkle in Time"" author + wrote",Madeleine L'Engle,7,Jeopardy Pavlovs
"""A chicken in every pot"" president",Herbert Hoover,4,Jeopardy Pavlovs
"""A la recherche du temps perdu""",Marcel Proust,4,Jeopardy Pavlovs
"""Absalom, Absalom!"" author",William Faulkner,7,Jeopardy Pavlovs
"""Accidentally in Love"" + band, Shrek 2",Counting Crows,4,Jeopardy Pavlovs
"""Adam Bede"" author",George Eliot,8,Jeopardy Pavlovs
"""Addams Family"" butler",Lurch,8,Jeopardy Pavlovs
"""Adeste Fideles"" + carol",O Come All Ye Faithful,4,Jeopardy Pavlovs
"""Admiral of the Ocean Sea""",Christopher Columbus,4,Jeopardy Pavlovs
"""Adventures of Huckleberry Finn"" author + wrote Adventures of Huckleberry Finn, The Adventures",Mark Twain,9,Jeopardy Pavlovs
"""Ah, Wilderness!"" playwright + only comedy",Eugene O'Neill,5,Jeopardy Pavlovs
"""Air Force One"" actor",Harrison Ford,4,Jeopardy Pavlovs
"""Airport"" author",Arthur Hailey,5,Jeopardy Pavlovs
"""Aladdin"" song",A Whole New World,4,Jeopardy Pavlovs
"""Alaska"" author",James Michener,4,Jeopardy Pavlovs
"""Alexander Nevsky"" + Ivan the Terrible, Battleship Potemkin, films",Sergei Eisenstein,4,Jeopardy Pavlovs
"""Alexander's Ragtime Band"" + song",Irving Berlin,4,Jeopardy Pavlovs
