Category,Question,Answer
STRINGING YOU ALONG,It's the official state modern musical instrument of Hawaii breezing into your life here,a ukulele
4 TIMES THE FUN,"The states that meet at the ""Four Corners"" are Arizona, Colorado, Utah & this one",New Mexico
KEY OR PEELE,"On his ""History of Sketch Comedy"" podcast, Key said his dad's laughter at this SNL comic as Stevie Wonder was career-inspiring",Eddie Murphy
"""ETTE"" TU","Think back -- it's the ""VC"" in VCR",video cassette
WHODUNIT?,"""Sleeping Murder: Miss Marple's Last Case""",Agatha Christie
MAGAZINES' FIRST COVERS,"In 1977 he starred in ""Slap Shot"" & graced the cover of the first issue of US magazine in a story about his auto racing career",Paul Newman
STRINGING YOU ALONG,"The Rolling Stones' Brian Jones took up this instrument but you're just hearing the instrument & not Brian, Mick & co.",a sitar
4 TIMES THE FUN,"In Norse mythology, Austri, Vestri, Nordri & Sudri are 4 of these diminutive beings who hold up the celestial skull of Ymir",dwarves
KEY OR PEELE,"Keegan-Michael Key narrated this series based on a Seuss story that included episodes titled ""Here"", ""There"" & Anywhere""",Green Eggs and Ham
"""ETTE"" TU","Your basic salad dressing, it's made with just 2 main ingredients plus seasonings",vinaigrette
WHODUNIT?,"""Detective Cross"", on the job",James Patterson
MAGAZINES' FIRST COVERS,"Spin magazine debuted in 1985 with a cover pic of this ""Material Girl"" by Herb Ritts, who shot many of her covers",Madonna
STRINGING YOU ALONG,"""Let me hear"" this Russian folk instrument ""ringing out""",a balalaika
4 TIMES THE FUN,It's the oldest of tennis' 4 grand slam tournaments & the only one played on grass,Wimbledon
KEY OR PEELE,Jordan Peele was nominated for an Oscar in 2019 for producing this Spike Lee film about an undercover cop,BlacKkKlansman
"""ETTE"" TU","When introduced by Chevy in 1953, it came in white only with a red interior",Corvette
WHODUNIT?,"""Devil in a Blue Dress"", an Easy Rawlins mystery",Mosley
MAGAZINES' FIRST COVERS,The first issue of this magazine in 1953 had Marilyn Monroe in black & white on the cover & a much more famous color photo inside,Playboy
STRINGING YOU ALONG,"Greece is the word for this long-necked, plucked instrument with a round, wooden body",the bouzouki
4 TIMES THE FUN,"Feudal Japanese society was divided into 4 distinct classes: merchants, artisans, farmers & these warriors",samurai
KEY OR PEELE,"In 2017 Keegan made his Broadway debut opposite Amy Schumer in ""Meteor Shower"", a comedy by this man, a ""wild & crazy guy"" himself once",Steve Martin
"""ETTE"" TU","Fantoccini are these controlled by wires, or a show using them",marionettes
WHODUNIT?,"It all came down to this. ""The lady in the lake"", I said. I lit a cigarette, & waited for the question I knew was coming",Chandler
MAGAZINES' FIRST COVERS,This magazine debuted in 1997 with Christa Miller as its first alluring cover woman,Maxim
STRINGING YOU ALONG,"The petticoat-melting instrument of the Renaissance, it went into a decline but was revived by later string players",a lute
4 TIMES THE FUN,It's the smallest in area & in population of the 4 countries that make up the United Kingdom,Northern Ireland
KEY OR PEELE,"Jordan Peele's characters on this ""magazine"" sketch show included Killbrain the Fury & the Game (in an ad for Post-It Notes)",Mad TV
"""ETTE"" TU","Amy Vanderbilt, author of a ""Complete Book of"" this, has been called ""the successor to Emily Post""",Etiquette
WHODUNIT?,"""The Brass Verdict"": Mickey Haller & Harry Bosch continue to find Hollywood is just murder",Michael Connelly
MAGAZINES' FIRST COVERS,"Time's first cover in 1923 featured Joe Cannon, who was retiring from the House of Reps after 46 years, 8 in this role",Speaker of the House
I SERVED IN 2 PRESIDENTS' CABINETS,"A known known, he was definitely Sec Def under Republican presidents in the 20th & 21st centuries",Rumsfeld
8-LETTER WORDS,"Scientifically, a prism separates white light into the colors of this",the spectrum
PHYSICAL SCIENCE,"Despite repulsive electrical forces, atomic nuclei keep it together thanks to the force described with this adjective",the strong force
TIME TO BUY SOME STUFF,"In 1803 we liked the neighborhood & the square footage (530 million acres), so the U.S. paid $15 million to make this real estate deal",the Louisiana Purchase
FORMER CAPITALS,"To commemorate the 200th anniversary of the Constitution, in 1987 Congress met in this former national capital",Philadelphia
"OSCAR, MEET TONY",A 1952 Tony & 1956 Oscar went to Yul Brynner for playing the monarch in this beloved musical,The King and I
I SERVED IN 2 PRESIDENTS' CABINETS,"Before William Rogers was Nixon's secretary of state, he was attorney general in this administration Nixon was also part of",the Eisenhower administration
8-LETTER WORDS,"Toxic bacterial poisoning, often from improperly canned foods",botulism
PHYSICAL SCIENCE,"Pascal's law says in fluid in a closed container, a change in this goes without  loss to every part; Pascal tested it with a full barrel",pressure
TIME TO BUY SOME STUFF,"Don't get those knickers in a twist! In 2015 the royal undies of Elizabeth II's great-great grandma, this woman, fetched $16,000",Victoria
FORMER CAPITALS,"In 1284 a parliament began meeting at Moot Hill in Scone; in 1452, it moved to this city",Edinburgh
"OSCAR, MEET TONY","Joel Grey welcomed both Tony & Oscar for playing the ""Cabaret"" character who went by this job description",the MC (Master of Ceremonies)
I SERVED IN 2 PRESIDENTS' CABINETS,"Seen here , she did hard labor in 2001 & motored over to Transportation in 2017",(Elaine) Chao
8-LETTER WORDS,"A storymaker like Aesop, or just a liar",a fabulist
PHYSICAL SCIENCE,"Term for a process with no assistance like gas expanding into a vacuum, or for one who does crazy things on the spur of the moment",spontaneous
TIME TO BUY SOME STUFF,"The Martin D18E guitar that this late frontman used on ""MTV Unplugged"" was bought in 2020 for $6 million",Cobain
FORMER CAPITALS,Busan replaced this city as a national capital from 1950 to 1953,Seoul
"OSCAR, MEET TONY","Anne Bancroft scored a Tony & an Oscar for playing her in ""The Miracle Worker""",(Annie) Sullivan
I SERVED IN 2 PRESIDENTS' CABINETS,"By George, he was Nixon's man at Treasury as well as Labor & Reagan's at State",George Shultz
8-LETTER WORDS,A rêverie du jour,a daydream
PHYSICAL SCIENCE,"Rusting & photosynthesis are basic examples of these reactions, a word combining oxidation & reduction",redox reactions
TIME TO BUY SOME STUFF,In 2016 the Antimagnetique ref 4113 watch from this Geneva-based company timed out & went for $2.5 million,a Rolex
FORMER CAPITALS,In 1991 newly built Abuja took the capital status from this much larger city to its northeast,Lagos
"OSCAR, MEET TONY","2 decades after winning an Oscar, Lila Kedrova got a 1984 Tony for the same role in this play, without ""the Greek"" in the title",Zorba
I SERVED IN 2 PRESIDENTS' CABINETS,Or 3: James Schlesinger was Defense Secy. for Nixon & Ford & Carter named him the first secy. of this new department,the Department of Energy
8-LETTER WORDS,"With the same first 4 letters as a word for a lack of knowledge, it means personal humiliation",ignominy
PHYSICAL SCIENCE,"Used in optics at least since Newton, this word with ""err"" within it refers to the failure of rays to come to a focus",aberration
TIME TO BUY SOME STUFF,"Let's have a side of this British painter; his ""Three Studies of Lucian Freud"" fetched $142 million",Bacon
FORMER CAPITALS,"This European city has only been a national capital since the 1250s; before that, you visited the King in Coimbra or  Guimarães",Lisbon
"OSCAR, MEET TONY",Jose Ferrer got the inaugural Best Actor Tony in 1947 & an Oscar in 1951 for playing this swashbuckling character,Cyrano de Bergerac
HISTORY,"Before a March 12, 1933 radio broadcast, he portentously remarked, ""I think this would be a good time for beer""",FDR
