"{{c1::Ground turkey::G T}} is considered a healthy alternative for {{c1::ground beef::G B}}.",""
"Ground turkey has become the default healthy stand-in for {{c1::ground beef::G B}} in meals like burgers, meatloaf, and tacos.",""
"Most ground turkey is made from a combination of {{c1::light and dark meat::L & D M}} and is about {{c1::7% fat::7% F}}.",""
"Very lean ground turkey is made from only {{c1::turkey breast::T B}} and can contain as little as {{c1::1% fat::1% F}}.",""
"{{c1::Lean ground turkey::L G T}} is milder in flavor and more likely to take on {{c1::seasonings and spices::S & S}}.",""
"Turkey is rich in {{c1::protein::P}} and an excellent source of {{c1::B vitamins::B V}}.",""
"Lean ground turkey can be {{c1::dry::D}}, so it’s best to add a source of cooking fat like {{c1::olive oil::O O}} or {{c1::avocado oil::A O}}.",""
"To prevent dryness, you can add extra moisture to ground turkey using {{c1::sauces and/or condiments::S/C}}.",""
"Ground turkey is good for {{c1::meal prep::M P}} because it’s {{c1::quick, easy, and versatile::Q, E & V}}.",""
"Cooked ground turkey should be stored in an airtight container and used within {{c1::3-4 days::3–4 D}}.",""
"To make ground turkey taste more like beef, try adding {{c1::Worcestershire sauce::W S}}.",""
"Front","Back"
"{{c1::Asafoetida (Asafetida)::A}} is used as a {{c2::digestive aid::D A}} in {{c3::Indian cooking::I C}}, and has a {{c4::strong odor::S O}} that mellows into a {{c5::garlic-onion flavor::G-O F}}.",""
"{{c1::Achiote (Annatto)::A}} is a {{c2::reddish-brown paste or powder::R-B P/P}} with an {{c3::earthy flavor::E F}}, used in {{c4::Latin American dishes::L A D}} like {{c5::mole sauce, cochinita pibil, and tamales::M S, C P, T}}.",""
"{{c1::Allspice::A}} is similar to {{c2::cloves::C}}, but more {{c3::pungent and deeply flavored::P & D F}}; best used in {{c4::spice mixes::S M}}.",""
"{{c1::Bay Leaf::B L}} adds a {{c2::woodsy background note::W B N}} to {{c3::soups and sauces::S & S}}.",""
"{{c1::Caraway Seed::C S}} has an {{c2::anise taste::A T}} and is essential for {{c3::soda bread::S B}}, {{c4::sauerkraut::S}}, and {{c5::potato salad::P S}}.",""
"{{c1::Cardamom::C}} is a {{c2::warm, aromatic spice::W, A S}} used in {{c3::Indian cuisine::I C}} and in {{c4::baked goods::B G}} with spices like {{c5::clove and cinnamon::C & C}}.",""
"{{c1::Cayenne Pepper::C P}} is made from {{c2::dried and ground red chili peppers::D & G R C P}} and adds {{c3::sweet heat::S H}} to {{c4::soups, braises, and spice mixes::S, B, S M}}.",""
"{{c1::Chia Seeds::C S}} are {{c2::nearly flavorless::N F}}, often added to {{c3::smoothies, cereals, and baked goods::S, C, B G}}, or used as a {{c4::vegan egg substitute::V E S}}.",""
"{{c1::Cinnamon::C}} is found in {{c2::almost every world cuisine::A E W C}} and used in both {{c3::sweet and savory dishes::S & S D}}.",""
"{{c1::Cloves::C}} are a {{c2::sweet and warming spice::S & W S}}, mostly used in {{c3::baking::B}} but also great for {{c4::braised meat::B M}}.",""
"{{c1::Coriander Seed::C S}} has an {{c2::earthy, lemony flavor::E, L F}} and is common in {{c3::Mexican and Indian dishes::M & I D}}.",""
"{{c1::Cumin::C}} has a {{c2::smoky and earthy flavor::S & E F}} and is used in {{c3::Southwestern U.S. and Mexican cuisine::S W & M C}}, as well as in {{c4::North African, Middle Eastern, and Indian dishes::N A, M E, I D}}.",""
