State Mottos,Jurisdiction,English translation,Motto
State Mottos,Alabama,We dare defend our rights,Audemus jura nostra defendere
State Mottos,Alaska,North to the Future,North to the Future
State Mottos,Arizona,God enriches,Ditat Deus
State Mottos,Arkansas,The people rule,Regnat populus[N 1]
State Mottos,California,I have found it,Eureka (Εὕρηκα)
State Mottos,Colorado,Nothing without providence,Nil sine numine
State Mottos,Connecticut,He who transplanted still sustains,Qui transtulit sustinet
State Mottos,Delaware,Liberty and Independence,Liberty and Independence
State Mottos,District of Columbia,Justice for all,Justitia Omnibus
State Mottos,Florida,In God We Trust,In God We Trust
State Mottos,Georgia,"Wisdom, Justice, Moderation[N 4]","Wisdom, Justice, Moderation[N 4]"
State Mottos,Hawaiʻi,The life of the land is perpetuated in righteousness/*The sovereignty of the land is perpetuated in righteousness,Ua mau ke ea o ka ʻāina i ka pono
State Mottos,Idaho,Let it be perpetual,Esto perpetua
State Mottos,Illinois,"State sovereignty, national union","State sovereignty, national union"
State Mottos,Indiana,Crossroads of America,Crossroads of America
State Mottos,Iowa,Our liberties we prize and our rights we will maintain,Our liberties we prize and our rights we will maintain
State Mottos,Kansas,To the stars through difficulties,Ad astra per aspera
State Mottos,Kentucky,"United we stand, divided we fall","United we stand, divided we fall"
State Mottos,Kentucky,Let us be grateful to God,Deo gratiam habeamus
State Mottos,Louisiana,"Union, justice, confidence","Union, justice, confidence"
State Mottos,Maine,I lead,Dirigo
State Mottos,Maryland,"Strong deeds, gentle words","Fatti maschi, parole femine"
State Mottos,Massachusetts,"By the sword we seek peace, but peace only under liberty",Ense petit placidam sub libertate quietem
State Mottos,Michigan,"If you seek a pleasant peninsula, look about you",Si quaeris peninsulam amoenam circumspice
State Mottos,Minnesota,The star of the North,L'Étoile du Nord[N 6]
State Mottos,Mississippi,By valor and arms,Virtute et armis
State Mottos,Missouri,Let the welfare of the people be the supreme law,Salus populi suprema lex esto
State Mottos,Montana,Gold and silver,Oro y plata
State Mottos,Nebraska,Equality before the law,Equality before the law
State Mottos,Nevada,All For Our Country[N 7],All For Our Country[N 7]
State Mottos,New Hampshire,Live Free or Die,Live Free or Die
State Mottos,New Jersey,Liberty and prosperity,Liberty and prosperity
State Mottos,New Mexico,It grows as it goes,Crescit eundo
State Mottos,New York,Ever upward,Excelsior
State Mottos,North Carolina,"To be, rather than to seem",Esse quam videri
State Mottos,North Dakota,"Liberty and union, now and forever, one and inseparable","Liberty and union, now and forever, one and inseparable"
State Mottos,North Dakota,One sows for the benefit of another age,Serit ut alteri saeclo prosit
State Mottos,Ohio,"With God, all things are possible[N 9]","With God, all things are possible[N 9]"
State Mottos,Oklahoma,Labor conquers all things,Labor omnia vincit
State Mottos,Oregon,She flies with her own wings,Alis volat propriis
State Mottos,Pennsylvania,"Virtue, liberty, and independence","Virtue, liberty, and independence"
State Mottos,Puerto Rico,John is his name,Joannes Est Nomen Ejus
State Mottos,Rhode Island,Hope,Hope
State Mottos,South Carolina,"While I breathe, I hope",Dum spiro spero
State Mottos,,Ready in soul and resource,Animis opibusque parati
State Mottos,South Dakota,Under God the people rule,Under God the people rule
State Mottos,Tennessee,Agriculture and Commerce,Agriculture and Commerce
State Mottos,Texas,Friendship,Friendship
State Mottos,Utah,Industry,Industry
State Mottos,Vermont,Freedom and Unity,Freedom and Unity
State Mottos,,May the fourteenth star shine bright,Stella quarta decima fulgeat
State Mottos,Virginia,Thus always to tyrants,Sic semper tyrannis
State Mottos,Washington,By and by,Al-ki or Alki (Unofficial)[N 16]
State Mottos,West Virginia,Mountaineers are always free,Montani semper liberi
State Mottos,Wisconsin,Forward,Forward
State Mottos,Wyoming,Equal Rights,Equal Rights
